price,time
101.45,2013-04-01 14:30:00
108.5,2013-04-02 14:30:00
135.0,2013-04-03 14:30:00
136.144,2013-04-04 14:30:00
137.0,2013-04-05 14:30:00
141.5,2013-04-06 14:30:00
156.0,2013-04-07 14:30:00
192.599,2013-04-08 14:30:00
215.0,2013-04-09 14:30:00
252.286,2013-04-10 14:30:00
131.0,2013-04-11 14:30:00
78.07600000000002,2013-04-12 14:30:00
116.485,2013-04-13 14:30:00
99.511,2013-04-14 14:30:00
96.99,2013-04-15 14:30:00
61.503,2013-04-16 14:30:00
94.0,2013-04-17 14:30:00
93.0,2013-04-18 14:30:00
118.0,2013-04-19 14:30:00
121.42,2013-04-20 14:30:00
125.1,2013-04-21 14:30:00
121.76,2013-04-22 14:30:00
134.1,2013-04-23 14:30:00
159.903,2013-04-24 14:30:00
154.2,2013-04-25 14:30:00
138.15,2013-04-26 14:30:00
135.11,2013-04-27 14:30:00
133.66,2013-04-28 14:30:00
143.8,2013-04-29 14:30:00
137.246,2013-04-30 14:30:00
128.6,2013-05-01 14:30:00
102.57,2013-05-02 14:30:00
94.0,2013-05-03 14:30:00
113.99,2013-05-04 14:30:00
110.8,2013-05-05 14:30:00
118.61,2013-05-06 14:30:00
100.102,2013-05-07 14:30:00
111.901,2013-05-08 14:30:00
112.56,2013-05-09 14:30:00
121.49,2013-05-10 14:30:00
118.24,2013-05-11 14:30:00
114.08,2013-05-12 14:30:00
117.0,2013-05-13 14:30:00
119.49,2013-05-14 14:30:00
113.46,2013-05-15 14:30:00
113.0,2013-05-16 14:30:00
114.9,2013-05-17 14:30:00
116.95,2013-05-18 14:30:00
118.88,2013-05-19 14:30:00
117.6,2013-05-20 14:30:00
118.24,2013-05-21 14:30:00
118.0,2013-05-22 14:30:00
120.4,2013-05-23 14:30:00
126.17,2013-05-24 14:30:00
128.001,2013-05-25 14:30:00
130.0199,2013-05-26 14:30:00
130.09,2013-05-27 14:30:00
124.99,2013-05-28 14:30:00
126.77,2013-05-29 14:30:00
129.78,2013-05-30 14:30:00
128.29,2013-05-31 14:30:00
128.1,2013-06-01 14:30:00
121.91,2013-06-02 14:30:00
119.06,2013-06-03 14:30:00
119.81,2013-06-04 14:30:00
120.2,2013-06-05 14:30:00
